/home/jessica/miniconda3/envs/Profiles/bin/python3.7 /home/jessica/GitHub/Profiles/development/time.py
/home/jessica/GitHub/data_templates/01082020/20200108_2123.json
Profile from  2020-01-08 21:24:20.381116 to 2020-01-08 21:32:06.650325 added
1 profile(s) including those added from file /home/jessica/GitHub/data_templates/01082020/00000108.BIN
Temperature sensor 1 removed
/home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/metpy/xarray.py:655: MetpyDeprecationWarning: The dewpoint_rh function was deprecated in version 0.12. This function has been renamed dewpoint_from_relative_humidity.
  return func(*args, **kwargs)
         168064882 function calls (167970669 primitive calls) in 1995.296 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       70    0.026    0.000    0.044    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:986(maybe_cast_to_datetime)
        3    0.026    0.009    0.049    0.016 <frozen importlib._bootstrap_external>:793(get_code)
    74336    0.025    0.000    0.025    0.000 {built-in method numpy.geterrobj}
      3/2    0.025    0.008    0.593    0.297 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     1569    0.025    0.000    0.026    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:126(to_string)
     1069    0.024    0.000    0.038    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1886(_is_dtype_type)
        3    0.023    0.008    0.212    0.071 <frozen importlib._bootstrap>:882(_find_spec)
        3    0.022    0.007    0.328    0.109 <frozen importlib._bootstrap>:663(_load_unlocked)
        3    0.022    0.007    0.045    0.015 <frozen importlib._bootstrap>:576(module_from_spec)
      884    0.020    0.000    0.028    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:83(find)
        1    0.019    0.019    0.056    0.056 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     1154    0.019    0.000    0.019    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:435(set_message_timestamp)
        3    0.018    0.006    0.033    0.011 <frozen importlib._bootstrap>:147(__enter__)
      3/2    0.018    0.006    0.688    0.344 {built-in method builtins.__import__}
      792    0.018    0.000    0.018    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/arrayprint.py:703(_extendLine)
        3    0.017    0.006    0.056    0.019 <frozen importlib._bootstrap_external>:1351(_get_spec)
        4    0.017    0.004    0.064    0.016 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
    38/34    0.016    0.000    0.065    0.002 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pandas/core/indexes/base.py:277(__new__)
     1216    0.015    0.000    0.015    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/dialects/v20/ardupilotmega.py:222(__init__)
        3    0.015    0.005    0.071    0.024 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
