/home/jessica/GitHub/data_templates/01082020/20200108_2123.json
Profile from  2020-01-08 21:24:20.381116 to 2020-01-08 21:32:06.650325 added
1 profile(s) including those added from file /home/jessica/GitHub/data_templates/01082020/00000108.BIN
Temperature sensor 1 removed
/home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/metpy/xarray.py:655: MetpyDeprecationWarning: The dewpoint_rh function was deprecated in version 0.12. This function has been renamed dewpoint_from_relative_humidity.
  return func(*args, **kwargs)
         37220892 function calls (37138684 primitive calls) in 678.433 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16172    0.096    0.000    0.192    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_methods.py:44(_any)
    16149    0.094    0.000    0.094    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/multiarray.py:1043(copyto)
     5289    0.090    0.000    0.090    0.000 /home/jessica/GitHub/Profiles/profiles/Thermo_Profile.py:177(<listcomp>)
   288927    0.087    0.000    0.093    0.000 {built-in method builtins.hasattr}
    10604    0.086    0.000    0.086    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:379(<listcomp>)
    16133    0.086    0.000    0.086    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/lib/nanfunctions.py:859(_nanmean_dispatcher)
     5260    0.079    0.000    0.369    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1200(<lambda>)
     5289    0.077    0.000    0.077    0.000 /home/jessica/GitHub/Profiles/profiles/Thermo_Profile.py:198(<listcomp>)
   814/22    0.072    0.000    0.092    0.004 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/arrayprint.py:726(recurser)
    10661    0.072    0.000    0.072    0.000 {built-in method _codecs.utf_8_decode}
   329145    0.072    0.000    0.072    0.000 {method 'join' of 'str' objects}
     5292    0.065    0.000   10.098    0.002 {built-in method math.isnan}
     2650    0.061    0.000    0.284    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:852(parse_expression)
    10775    0.061    0.000    0.061    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:303(__getitem__)
    48181    0.057    0.000    0.057    0.000 {built-in method utcfromtimestamp}
        1    0.053    0.053    0.930    0.930 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:482(init_clock)
        1    0.043    0.043    0.081    0.081 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/lib/npyio.py:1548(genfromtxt)
        3    0.042    0.014    0.148    0.049 <frozen importlib._bootstrap>:882(_find_spec)
        3    0.038    0.013    0.059    0.020 <frozen importlib._bootstrap_external>:793(get_code)
    32368    0.036    0.000    0.036    0.000 {built-in method numpy.seterrobj}
        1    0.035    0.035    0.083    0.083 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/dialects/v20/ardupilotmega.py:7(<module>)
     5301    0.031    0.000    0.035    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/compat/chainmap.py:97(__bool__)
        3    0.031    0.010    0.060    0.020 <frozen importlib._bootstrap_external>:1356(find_spec)
     5448    0.031    0.000    0.031    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/definitions.py:35(is_multiplicative)
     1154    0.030    0.000    0.040    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:382(message_arrived)
     5137    0.029    0.000    0.030    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pandas/core/dtypes/generic.py:7(_check)
    58262    0.029    0.000    0.029    0.000 {method 'mro' of 'type' objects}
     5290    0.027    0.000    0.027    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/multiarray.py:707(dot)
      3/2    0.027    0.009    0.461    0.231 <frozen importlib._bootstrap>:978(_find_and_load)
        3    0.026    0.009    0.235    0.078 <frozen importlib._bootstrap>:663(_load_unlocked)
     1069    0.025    0.000    0.041    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1886(_is_dtype_type)
      242    0.023    0.000    0.035    0.000 {built-in method builtins.__build_class__}
    64736    0.022    0.000    0.022    0.000 {built-in method numpy.geterrobj}
      884    0.021    0.000    0.030    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:83(find)
        3    0.019    0.006    0.027    0.009 <frozen importlib._bootstrap>:147(__enter__)
